step,time,msd
0,0,3.76917740514599e-29
100,0.5,1.30459945126287
200,1,4.56544472196073
300,1.5,9.15582198754415
400,2,14.4515112048606
500,2.5,20.2957124424324
600,3,26.2444924526622
700,3.5,32.7897608550685
800,4,39.7822437250817
900,4.5,46.1103026060463
1000,5,52.6423939861537
1100,5.5,59.3955638246529
1200,6,66.1719216710656
1300,6.5,72.5655595821225
1400,7,79.2169774087874
1500,7.5,86.1592832099547
1600,8,93.8260498034625
1700,8.5,101.864965699535
1800,9,109.405536027001
1900,9.5,116.805520477408
2000,10,124.571486896316
2100,10.5,132.642600411911
2200,11,140.16122615648
2300,11.5,147.81846994075
2400,12,155.436673499943
2500,12.5,162.785611568819
2600,13,170.64917846852
2700,13.5,177.370807034296
2800,14,184.359195666995
2900,14.5,190.5493401419
3000,15,197.34158837259
3100,15.5,204.587869534447
3200,16,211.759692775123
3300,16.5,220.104032225919
3400,17,228.410844745613
3500,17.5,235.820736535859
3600,18,243.325845675845
3700,18.5,250.916260339373
3800,19,258.852034025991
3900,19.5,266.768540725956
4000,20,273.13790388371
4100,20.5,280.007975469428
4200,21,287.161884517473
4300,21.5,293.988122455427
4400,22,301.653348593461
4500,22.5,310.437080200532
4600,23,318.114441214503
4700,23.5,325.284349668638
4800,24,331.541123760253
4900,24.5,338.183009375319
5000,25,344.132118281926
5100,25.5,349.334137690922
5200,26,353.886587543892
5300,26.5,359.350708814353
5400,27,364.315968818091
5500,27.5,369.805738777318
5600,28,376.719753985112
5700,28.5,384.385766001902
5800,29,391.66792357903
5900,29.5,398.554400419042
6000,30,405.762717914747
6100,30.5,412.334705880175
6200,31,418.894446373003
6300,31.5,426.399484619641
6400,32,434.594251851377
6500,32.5,441.980469513813
6600,33,448.614641410318
6700,33.5,456.553334036609
6800,34,466.022064248519
6900,34.5,475.784475625025
7000,35,485.004237012934
7100,35.5,493.224921470695
7200,36,501.208878358697
7300,36.5,509.052632653861
7400,37,516.210759670489
7500,37.5,522.521756527112
7600,38,529.715508072606
7700,38.5,538.981804382561
7800,39,547.808500251877
7900,39.5,555.794522210698
8000,40,562.682777588816
8100,40.5,568.426035134175
8200,41,575.339123198152
8300,41.5,582.501935067451
8400,42,590.285478372135
8500,42.5,597.22264586985
8600,43,603.230337832517
8700,43.5,609.177153488998
8800,44,617.318721140562
8900,44.5,624.730187011818
9000,45,632.499354486089
9100,45.5,641.648667453486
9200,46,651.126546557916
9300,46.5,659.517299228555
9400,47,667.848587532706
9500,47.5,675.548347131378
9600,48,683.194500774426
9700,48.5,691.085958183524
9800,49,701.124237371722
9900,49.5,712.492879765285
10000,50,722.631762494695
10100,50.5,733.419693931431
10200,51,741.225780284072
10300,51.5,748.992657578215
10400,52,756.945156262536
10500,52.5,768.659827967572
10600,53,779.543515519586
10700,53.5,789.959251053866
10800,54,799.987787240568
10900,54.5,810.068507253616
11000,55,818.342758856727
11100,55.5,827.738896859657
11200,56,837.206020187102
11300,56.5,844.173307329394
11400,57,849.61362517903
11500,57.5,857.983350098203
11600,58,868.369398926255
11700,58.5,881.709010256097
11800,59,893.636037167561
11900,59.5,904.647264329257
12000,60,913.285524258626
12100,60.5,921.422160684417
12200,61,928.789061984196
12300,61.5,938.482699758396
12400,62,949.720038459932
12500,62.5,962.384176574189
12600,63,974.970402856577
12700,63.5,987.185397930984
12800,64,999.489627526219
12900,64.5,1010.23277061181
13000,65,1020.88597961149
13100,65.5,1029.24321407369
13200,66,1037.60299650672
13300,66.5,1045.25764918016
13400,67,1053.95060628775
13500,67.5,1063.90219385996
13600,68,1072.54578755121
13700,68.5,1079.6412510242
13800,69,1087.32517113377
13900,69.5,1098.47572165602
14000,70,1108.80620784202
14100,70.5,1118.72884487084
14200,71,1128.32677860543
14300,71.5,1138.26238513924
14400,72,1148.36772741162
14500,72.5,1155.25882924781
14600,73,1160.89399005987
14700,73.5,1166.86204295406
14800,74,1174.72565589774
14900,74.5,1182.10417190788
15000,75,1191.10914424064
15100,75.5,1201.99709358488
15200,76,1212.90512118145
15300,76.5,1221.52146158296
15400,77,1227.71410724478
15500,77.5,1233.4188075679
15600,78,1240.5683362776
15700,78.5,1249.75427868398
15800,79,1257.55561709958
15900,79.5,1264.21664896221
16000,80,1271.11623669412
16100,80.5,1276.61102970756
16200,81,1283.34431561109
16300,81.5,1288.17551406993
16400,82,1292.70694587279
16500,82.5,1300.31295847421
16600,83,1305.80817206693
16700,83.5,1313.68018781176
16800,84,1320.60197011606
16900,84.5,1327.15281669061
17000,85,1332.90368888753
17100,85.5,1340.5396318802
17200,86,1346.83583189275
17300,86.5,1353.95636326742
17400,87,1361.77941924841
17500,87.5,1368.36539117374
17600,88,1376.67139947546
17700,88.5,1386.25031380125
17800,89,1394.90636235086
17900,89.5,1406.15023254342
18000,90,1415.79364522551
18100,90.5,1424.57135417571
18200,91,1434.97988498188
18300,91.5,1446.23474538321
18400,92,1458.3693338406
18500,92.5,1470.21006667525
18600,93,1478.342502726
18700,93.5,1483.14241935914
18800,94,1489.23742336483
18900,94.5,1495.29183583321
19000,95,1503.0499907714
19100,95.5,1511.82880329293
19200,96,1519.02142951832
19300,96.5,1526.06382883121
19400,97,1531.67693612371
19500,97.5,1538.67447675845
19600,98,1546.21083492659
19700,98.5,1551.68289089992
19800,99,1558.24823846847
19900,99.5,1565.59694253287
20000,100,1570.95176800961
20100,100.5,1575.3034721017
