step,time,msd
0,0,1.53100546763484e-28
100,0.5,1.15517693946832
200,1,3.64333632951638
300,1.5,6.61855752431653
400,2,9.99440532774753
500,2.5,13.5065733142843
600,3,17.1230982970164
700,3.5,20.8416051797399
800,4,24.7211951249144
900,4.5,28.5198351317032
1000,5,32.073543502377
1100,5.5,35.6186231205556
1200,6,39.164460060851
1300,6.5,42.5477444761346
1400,7,46.2661200586225
1500,7.5,50.1035901195768
1600,8,53.7295037293175
1700,8.5,57.6694752442736
1800,9,61.7124359436358
1900,9.5,66.0533258567238
2000,10,70.164473364736
2100,10.5,74.8787707041606
2200,11,79.4487346517784
2300,11.5,84.2086775388057
2400,12,89.0083373320401
2500,12.5,93.6212515426496
2600,13,97.7089542797902
2700,13.5,101.352281240508
2800,14,105.263659270529
2900,14.5,108.559732569762
3000,15,112.553811159445
3100,15.5,117.062810597898
3200,16,121.953449069759
3300,16.5,125.583642674758
3400,17,129.063205098744
3500,17.5,132.883578314228
3600,18,136.948140489985
3700,18.5,140.902393625715
3800,19,144.699619044693
3900,19.5,149.490272823036
4000,20,153.719372658762
4100,20.5,157.773092978917
4200,21,162.229065560952
4300,21.5,166.568927364931
4400,22,169.908065115605
4500,22.5,173.81165847139
4600,23,178.379160960514
4700,23.5,181.989194508901
4800,24,185.589661857814
4900,24.5,189.025180253519
5000,25,193.220007070263
5100,25.5,197.106630962597
5200,26,201.42522629276
5300,26.5,204.684164721845
5400,27,207.433236298682
5500,27.5,209.66905168989
5600,28,212.294112382211
5700,28.5,214.3283009798
5800,29,216.744674419811
5900,29.5,219.808373414254
6000,30,224.037983124396
6100,30.5,227.611423786363
6200,31,231.018488702254
6300,31.5,235.053571831876
6400,32,237.97296011816
6500,32.5,241.475228452042
6600,33,245.522201765551
6700,33.5,248.943807812606
6800,34,251.839183543781
6900,34.5,255.744701266983
7000,35,259.681074911807
7100,35.5,262.522975300268
7200,36,265.562564967354
7300,36.5,268.776822822277
7400,37,270.612575542187
7500,37.5,272.76817173607
7600,38,275.331328393905
7700,38.5,279.021642528903
7800,39,282.449888542047
7900,39.5,287.222493366208
8000,40,291.64370769671
8100,40.5,294.779501022027
8200,41,297.46246993845
8300,41.5,300.751721062912
8400,42,303.823707231866
8500,42.5,306.574019359309
8600,43,310.275770616789
8700,43.5,314.087854212893
8800,44,316.950438829221
8900,44.5,318.845330520692
9000,45,319.651576675764
9100,45.5,320.977914995172
9200,46,324.035695980752
9300,46.5,328.097990193196
9400,47,333.087558693416
9500,47.5,337.452409763373
9600,48,341.915561486363
9700,48.5,346.199012706942
9800,49,350.401875284253
9900,49.5,353.801322487537
10000,50,357.144304225316
10100,50.5,360.052289242446
10200,51,364.425150279676
10300,51.5,368.891126598568
10400,52,373.129219305597
10500,52.5,376.556934738391
10600,53,378.957346767673
10700,53.5,382.389858729295
10800,54,385.940911502611
10900,54.5,389.125103699019
11000,55,393.405779911748
11100,55.5,397.5102281495
11200,56,401.158766395069
11300,56.5,404.334055373742
11400,57,408.426497929517
11500,57.5,412.601044201289
11600,58,417.610315107461
11700,58.5,423.638307659622
11800,59,429.56523423511
11900,59.5,435.319772355254
12000,60,440.763418860311
12100,60.5,444.594427253648
12200,61,448.064052465118
12300,61.5,451.539900170664
12400,62,456.727729544697
12500,62.5,461.634529848323
12600,63,466.850751330287
12700,63.5,471.868073252639
12800,64,477.526293734101
12900,64.5,481.663571641296
13000,65,484.918805990108
13100,65.5,489.24306966712
13200,66,493.053393474432
13300,66.5,496.852163234209
13400,67,502.607281912621
13500,67.5,507.239890564754
13600,68,511.435878023322
13700,68.5,515.479093716613
13800,69,518.890128681011
13900,69.5,522.733891772367
14000,70,524.8908338985
14100,70.5,528.86880870861
14200,71,532.338126168301
14300,71.5,537.676677447061
14400,72,543.091225909843
14500,72.5,549.246646984439
14600,73,554.00825391622
14700,73.5,559.058644019044
14800,74,563.742407400359
14900,74.5,567.947736199092
15000,75,571.329926645831
15100,75.5,574.26640823384
15200,76,576.710927094565
15300,76.5,581.632758704276
15400,77,586.635955692463
15500,77.5,589.393958626407
15600,78,592.490367971096
15700,78.5,597.211317180555
15800,79,600.537074531098
15900,79.5,602.681194441814
16000,80,604.932727404603
16100,80.5,607.879288607853
16200,81,609.793558674747
16300,81.5,612.998889621285
16400,82,615.221992028276
16500,82.5,617.577895309278
16600,83,620.805651224038
16700,83.5,624.335970673122
16800,84,627.505952419097
16900,84.5,631.21476409356
17000,85,633.024674173669
17100,85.5,635.977954685548
17200,86,641.514610790408
17300,86.5,645.996702204596
17400,87,650.919597957586
17500,87.5,656.135708488747
17600,88,660.145960842054
17700,88.5,663.333992799109
17800,89,668.699765912402
17900,89.5,675.140655781165
18000,90,682.065591681137
18100,90.5,688.468138889217
18200,91,694.683936119347
18300,91.5,700.354481737405
18400,92,705.503199802095
18500,92.5,709.218434695112
18600,93,713.319704693997
18700,93.5,716.566194514849
18800,94,719.649279666067
18900,94.5,725.104216643874
19000,95,728.156282785596
19100,95.5,732.73582948452
19200,96,737.381392866625
19300,96.5,741.051593391739
19400,97,742.945210292038
19500,97.5,747.185627765176
19600,98,751.504680422009
19700,98.5,752.211233284845
19800,99,755.307559732407
19900,99.5,759.521328665514
20000,100,764.275708541685
20100,100.5,767.749605230613
20200,101,770.744044029313
20300,101.5,772.450539931367
20400,102,774.00816248931
20500,102.5,777.430389620711
20600,103,779.518691443758
20700,103.5,782.257134158695
20800,104,785.751721233258
20900,104.5,790.324703132681
21000,105,795.101249887828
21100,105.5,799.726057182147
21200,106,805.37020795782
21300,106.5,810.413088484784
21400,107,813.908663042757
21500,107.5,818.659170201807
21600,108,822.819977836125
21700,108.5,829.49596132909
21800,109,834.83808659007
21900,109.5,841.036115014536
22000,110,846.77202157024
22100,110.5,852.138047036093
22200,111,855.575124352859
22300,111.5,857.642991931618
22400,112,860.910356867342
22500,112.5,863.213847984297
22600,113,865.154416872765
22700,113.5,869.494600994116
22800,114,875.144591658508
22900,114.5,881.58246261078
23000,115,884.987271699582
23100,115.5,887.885160215123
23200,116,892.425772954188
23300,116.5,897.111115531857
23400,117,902.728554158464
23500,117.5,906.467482654484
23600,118,907.41469729106
23700,118.5,910.723417788287
23800,119,913.991424140717
23900,119.5,916.849299073317
24000,120,917.973076331398
24100,120.5,920.347848197247
24200,121,922.268245525293
24300,121.5,924.292930087417
24400,122,923.980474567691
24500,122.5,927.035833436996
24600,123,928.583822838434
24700,123.5,930.730681757878
24800,124,931.663039598951
24900,124.5,931.943429459129
25000,125,934.118131568031
25100,125.5,935.561501897588
25200,126,940.146489779915
25300,126.5,945.873301527188
25400,127,949.562615738559
25500,127.5,954.334110913826
25600,128,958.355962349767
25700,128.5,961.414097626169
25800,129,966.749961092724
25900,129.5,968.188566116405
26000,130,967.278515523191
26100,130.5,968.328682390709
26200,131,971.867779684765
26300,131.5,975.594790968452
26400,132,977.91788779897
26500,132.5,981.838138098368
26600,133,984.791462694863
26700,133.5,986.40804240187
26800,134,987.508671791193
26900,134.5,988.74427280805
27000,135,990.018205437302
27100,135.5,993.934469646198
27200,136,996.176800079459
27300,136.5,997.5012858802
27400,137,1000.82825012837
27500,137.5,1005.68532012048
27600,138,1009.22369673309
27700,138.5,1014.26121782934
27800,139,1019.21389064407
27900,139.5,1025.23902889623
28000,140,1030.65469218342
28100,140.5,1036.45782384216
28200,141,1041.97089921226
28300,141.5,1047.87776336728
28400,142,1053.38687359774
28500,142.5,1058.14325870893
28600,143,1061.86549899638
28700,143.5,1064.63729119442
28800,144,1067.96812431536
28900,144.5,1072.11774983806
29000,145,1077.67134148658
29100,145.5,1079.32927272516
29200,146,1082.04291422674
29300,146.5,1083.85003557212
29400,147,1087.3294866772
29500,147.5,1090.56956278977
29600,148,1094.66180115982
29700,148.5,1098.10279518342
29800,149,1103.30893219087
29900,149.5,1108.31028226637
30000,150,1112.02324172336
30100,150.5,1115.65360779835
30200,151,1117.14566973789
30300,151.5,1118.29550257825
30400,152,1120.6522281974
30500,152.5,1120.61905668135
30600,153,1120.5543005279
30700,153.5,1122.60124230269
30800,154,1124.4926094249
30900,154.5,1127.74681670993
31000,155,1128.19860766608
31100,155.5,1134.62925732826
31200,156,1139.92912260427
31300,156.5,1141.4956063501
31400,157,1142.64277769333
31500,157.5,1145.72721262468
31600,158,1148.89415510119
31700,158.5,1153.41982125742
31800,159,1156.41167468874
31900,159.5,1156.86735880918
32000,160,1156.84873533248
32100,160.5,1159.74853998487
32200,161,1165.74985367529
32300,161.5,1170.79487709728
32400,162,1174.50965266758
32500,162.5,1177.00537450705
32600,163,1179.24045641651
32700,163.5,1180.80497743728
32800,164,1184.74420162155
32900,164.5,1188.21845910735
33000,165,1190.4513158345
33100,165.5,1192.61243503415
33200,166,1195.29802195487
33300,166.5,1196.11824551183
33400,167,1195.54649637791
33500,167.5,1196.43973893017
33600,168,1198.19104062838
33700,168.5,1199.7685437372
33800,169,1201.52705016276
33900,169.5,1208.05774517459
34000,170,1213.12542711546
34100,170.5,1216.56513675549
34200,171,1219.49121931616
34300,171.5,1222.88978063729
34400,172,1226.30993899778
34500,172.5,1229.18180001142
34600,173,1235.23706128582
34700,173.5,1241.23179776116
34800,174,1243.45100186361
34900,174.5,1243.62658198682
35000,175,1244.95997581073
35100,175.5,1246.3974091448
35200,176,1248.75765257039
35300,176.5,1250.48112924305
35400,177,1253.53069425231
35500,177.5,1257.82578584816
35600,178,1261.05616475779
35700,178.5,1262.39792676678
35800,179,1263.9546701782
35900,179.5,1267.39412762536
36000,180,1271.90058013626
36100,180.5,1277.96548893979
36200,181,1282.10809336424
36300,181.5,1284.02072720927
36400,182,1286.29436790732
36500,182.5,1291.18006252206
36600,183,1294.28913275476
36700,183.5,1298.35538951277
36800,184,1299.18346834691
36900,184.5,1300.0303749352
37000,185,1301.6031370536
37100,185.5,1305.68472306598
37200,186,1308.4243124896
37300,186.5,1310.17860773119
37400,187,1314.23996730666
37500,187.5,1319.05303797766
37600,188,1324.34805896483
37700,188.5,1328.15671178862
37800,189,1331.17255658338
37900,189.5,1334.77860443531
38000,190,1337.17677960917
38100,190.5,1338.47922501526
38200,191,1340.33317223455
38300,191.5,1339.99353495849
38400,192,1342.48168544753
38500,192.5,1348.03122595678
38600,193,1352.59075288121
38700,193.5,1355.67702589329
38800,194,1358.16095029436
38900,194.5,1365.43098417458
39000,195,1372.68133514603
39100,195.5,1376.71164894735
39200,196,1381.70304553701
39300,196.5,1388.2373700262
39400,197,1394.57088927928
39500,197.5,1398.26569506284
39600,198,1402.21741176262
39700,198.5,1406.2622384858
39800,199,1409.96066794011
39900,199.5,1413.49756348375
40000,200,1418.56341069208
40100,200.5,1421.9518007437
40200,201,1424.17003274215
40300,201.5,1425.37789292792
40400,202,1428.08591475973
40500,202.5,1431.8353309095
40600,203,1432.15016725752
40700,203.5,1435.85689907547
40800,204,1439.05804577652
40900,204.5,1439.0687824706
