step,time,msd
52600,263,2532.93203354788
52700,263.5,2540.65038127544
52800,264,2547.87155168574
52900,264.5,2553.08671533477
53000,265,2556.67562515667
53100,265.5,2560.33539165743
53200,266,2560.41040782816
53300,266.5,2564.79392412826
53400,267,2572.21634083011
53500,267.5,2578.89091857244
53600,268,2584.52879241995
53700,268.5,2592.93386044043
53800,269,2596.12943973044
53900,269.5,2596.93259500533
54000,270,2599.20097904204
54100,270.5,2603.14840838645
54200,271,2607.10131949473
54300,271.5,2610.04938488552
54400,272,2616.55080199604
54500,272.5,2621.58114254686
54600,273,2626.51647052097
54700,273.5,2629.99431752341
54800,274,2637.84292327053
54900,274.5,2642.67905848461
55000,275,2645.09133719245
55100,275.5,2648.40795495531
55200,276,2654.32375971678
55300,276.5,2661.28991345786
55400,277,2665.37598923543
55500,277.5,2669.48488832873
55600,278,2672.98659309872
55700,278.5,2680.23135007482
55800,279,2686.40406740445
55900,279.5,2691.59646429355
56000,280,2699.98810569161
56100,280.5,2706.1362120146
56200,281,2710.39016722286
56300,281.5,2716.79082984281
56400,282,2723.62458511822
56500,282.5,2727.68427631021
56600,283,2733.7688838681
56700,283.5,2737.38134116689
56800,284,2737.55510823527
56900,284.5,2745.06449759622
57000,285,2749.76482022568
57100,285.5,2752.53915665242
57200,286,2756.14592981431
57300,286.5,2761.74788180178
57400,287,2766.6233103341
57500,287.5,2772.0246000401
57600,288,2775.37542794433
57700,288.5,2776.31932306177
57800,289,2780.90006373629
57900,289.5,2787.32250479621
58000,290,2795.12104588823
58100,290.5,2797.5947911341
58200,291,2802.1614190734
58300,291.5,2809.88061573232
58400,292,2815.54113683867
58500,292.5,2819.23969078379
58600,293,2818.58869514817
58700,293.5,2819.37938729835
58800,294,2826.5524702448
58900,294.5,2831.77065093337
59000,295,2840.35431018171
59100,295.5,2849.0123725091
59200,296,2857.34215741619
59300,296.5,2860.38174408913
59400,297,2861.7251236097
59500,297.5,2862.85806772182
59600,298,2864.74726248417
59700,298.5,2867.44044089249
59800,299,2871.28703319054
59900,299.5,2876.872508407
60000,300,2881.83135795217
60100,300.5,2888.69324495759
60200,301,2894.37545431715
60300,301.5,2904.01563401555
60400,302,2914.30774513334
60500,302.5,2919.578129919
60600,303,2923.37870841878
60700,303.5,2927.40482097671
60800,304,2929.67543365187
60900,304.5,2935.7049902819
61000,305,2942.48221907644
61100,305.5,2948.34901359144
61200,306,2953.84903471907
61300,306.5,2955.22599249052
61400,307,2965.38452096403
61500,307.5,2974.41475201676
61600,308,2974.25173726955
61700,308.5,2976.28151793818
61800,309,2983.25590398203
61900,309.5,2989.04947351604
62000,310,2997.46937407
62100,310.5,3006.89276982209
62200,311,3020.32024567306
62300,311.5,3031.94344540588
62400,312,3038.98901248157
62500,312.5,3043.35565072548
62600,313,3044.34662770635
62700,313.5,3046.35566327332
62800,314,3047.61041551478
62900,314.5,3051.22920051563
63000,315,3056.40178341973
63100,315.5,3064.12384809384
63200,316,3068.92789181928
63300,316.5,3070.17447187351
63400,317,3075.41891464489
63500,317.5,3082.1344591466
63600,318,3086.85173027471
63700,318.5,3093.73303465938
63800,319,3100.44123691095
63900,319.5,3109.90306367748
64000,320,3117.8280931232
