step,time,temp,pressure,density,volume
0,0,2,0.308617229417397,0.160624746025305,3112.84538884955
100,0.5,2.03821373311914,0.266434217128911,0.160624746025305,3112.84538884955
200,1,2.00388242611154,0.273350345972464,0.160624746025305,3112.84538884955
300,1.5,1.9346234936028,0.265053420169433,0.160624746025305,3112.84538884955
400,2,1.90343004153963,0.224439458743643,0.160624746025305,3112.84538884955
500,2.5,1.8797521049108,0.288008949156367,0.160624746025305,3112.84538884955
600,3,1.94694321736651,0.309185002369379,0.160624746025305,3112.84538884955
700,3.5,1.99991308315172,0.355621872486319,0.160624746025305,3112.84538884955
800,4,2.08673727118035,0.361395045032265,0.160624746025305,3112.84538884955
900,4.5,2.08377824809517,0.319756684659274,0.160624746025305,3112.84538884955
1000,5,2.04777955898836,0.305240760725818,0.160624746025305,3112.84538884955
1100,5.5,1.9720284448218,0.270685789953487,0.160624746025305,3112.84538884955
1200,6,1.92942036337148,0.251946452185594,0.160624746025305,3112.84538884955
1300,6.5,1.93377140261191,0.267115393249951,0.160624746025305,3112.84538884955
1400,7,1.93773945586002,0.32188162224006,0.160624746025305,3112.84538884955
1500,7.5,1.99712921380298,0.311811614664519,0.160624746025305,3112.84538884955
1600,8,2.02308172021886,0.271592241134201,0.160624746025305,3112.84538884955
1700,8.5,2.045107915795,0.263907941946373,0.160624746025305,3112.84538884955
1800,9,2.01892042492334,0.294896794874768,0.160624746025305,3112.84538884955
1900,9.5,2.02613531092488,0.310760788542485,0.160624746025305,3112.84538884955
2000,10,1.96247599070262,0.264700684415744,0.160624746025305,3112.84538884955
2100,10.5,1.97780339767117,0.301892317626958,0.160624746025305,3112.84538884955
2200,11,2.04899962394647,0.30912494738048,0.160624746025305,3112.84538884955
2300,11.5,2.10149177512051,0.293823301715832,0.160624746025305,3112.84538884955
2400,12,2.13216523112125,0.343520916423846,0.160624746025305,3112.84538884955
2500,12.5,2.1184668532613,0.368091698351571,0.160624746025305,3112.84538884955
2600,13,2.05479215823034,0.293790082755688,0.160624746025305,3112.84538884955
2700,13.5,1.91824368298503,0.308333954651017,0.160624746025305,3112.84538884955
2800,14,1.9086993959763,0.258479091846762,0.160624746025305,3112.84538884955
2900,14.5,1.95904170812629,0.282647470219005,0.160624746025305,3112.84538884955
3000,15,1.96972266448484,0.323809348289834,0.160624746025305,3112.84538884955
3100,15.5,2.04047030579801,0.314531986506544,0.160624746025305,3112.84538884955
3200,16,2.03542230178799,0.306590928419531,0.160624746025305,3112.84538884955
3300,16.5,2.07500511295417,0.321417581441972,0.160624746025305,3112.84538884955
3400,17,2.04265651362178,0.305280817288154,0.160624746025305,3112.84538884955
3500,17.5,1.90343046049886,0.337324453573451,0.160624746025305,3112.84538884955
3600,18,1.84584290225578,0.21806838161693,0.160624746025305,3112.84538884955
3700,18.5,1.86613113853686,0.229672947370025,0.160624746025305,3112.84538884955
3800,19,1.9491250968475,0.249230647867905,0.160624746025305,3112.84538884955
3900,19.5,2.01823949861072,0.2928756779836,0.160624746025305,3112.84538884955
4000,20,2.01913220543899,0.339362843901193,0.160624746025305,3112.84538884955
4100,20.5,2.02238124485721,0.303756430475096,0.160624746025305,3112.84538884955
4200,21,2.01253965678525,0.29739249093241,0.160624746025305,3112.84538884955
4300,21.5,2.00271836984204,0.288500908894778,0.160624746025305,3112.84538884955
4400,22,1.96891102077149,0.313165794898463,0.160624746025305,3112.84538884955
4500,22.5,1.92528246308421,0.28578938568615,0.160624746025305,3112.84538884955
4600,23,1.90718846980187,0.252365230340284,0.160624746025305,3112.84538884955
