step,time,msd
0,0,1.20853490679859e-29
100,0.5,1.39855907810965
200,1,5.22248696738363
300,1.5,11.0600615809039
400,2,18.4731689900046
500,2.5,27.1508606301989
600,3,36.8528557437267
700,3.5,47.4741165856877
800,4,59.3404223820035
900,4.5,72.6023490896116
1000,5,86.3628962566521
1100,5.5,100.844103183642
1200,6,115.245214281512
1300,6.5,129.844850360637
1400,7,144.671854519001
1500,7.5,159.694855385461
1600,8,175.301592011617
1700,8.5,190.80072063198
1800,9,206.132516983455
1900,9.5,221.548636525529
2000,10,236.99757199458
2100,10.5,252.645374170423
2200,11,268.193513988351
2300,11.5,284.447262650347
2400,12,300.345495038761
2500,12.5,316.393449139095
2600,13,332.303054057429
2700,13.5,349.233387573297
2800,14,367.197004657734
2900,14.5,384.19248526835
3000,15,400.157828054522
3100,15.5,416.898776144683
3200,16,432.554389548144
3300,16.5,447.88522105963
3400,17,463.210742945491
3500,17.5,478.892905387509
3600,18,493.670652886095
3700,18.5,508.056423311432
3800,19,522.986987539383
3900,19.5,538.303698241268
4000,20,553.995930224606
4100,20.5,569.992503101925
4200,21,585.14307128844
4300,21.5,599.948869528626
4400,22,615.412881530398
4500,22.5,630.709370798028
4600,23,647.283575292396
4700,23.5,663.467919755225
4800,24,679.032216431745
4900,24.5,694.919991211363
5000,25,710.275027321907
5100,25.5,724.921288915927
5200,26,739.448853415002
5300,26.5,755.822083450183
5400,27,773.048326846027
5500,27.5,790.392832687939
5600,28,806.878116776997
5700,28.5,822.507494685321
5800,29,838.392367894517
5900,29.5,854.256537500965
6000,30,870.526582613868
6100,30.5,885.638943680552
6200,31,900.88065640154
6300,31.5,917.149619808939
6400,32,933.228460726024
6500,32.5,947.713592304856
6600,33,960.186645074436
6700,33.5,972.832639980394
6800,34,985.887756030326
6900,34.5,996.711260841466
7000,35,1008.36768926522
7100,35.5,1021.41461469295
7200,36,1033.87187819998
7300,36.5,1045.04749296778
7400,37,1057.85704441731
7500,37.5,1071.98229047282
7600,38,1085.61612872636
7700,38.5,1098.62756933886
7800,39,1112.36644567557
7900,39.5,1126.35226051542
8000,40,1142.23316409772
8100,40.5,1157.0701043164
8200,41,1168.77026293491
8300,41.5,1181.89224386973
8400,42,1194.64560423542
8500,42.5,1207.64484383387
8600,43,1219.5434621794
8700,43.5,1232.55382497711
8800,44,1246.21696224162
8900,44.5,1258.31706100769
9000,45,1269.86258539922
9100,45.5,1281.56032544114
9200,46,1294.52195435242
9300,46.5,1305.54303316621
9400,47,1316.45176514588
9500,47.5,1328.8934155197
9600,48,1342.41223812825
9700,48.5,1357.53490887455
9800,49,1373.68250278478
9900,49.5,1389.56347081255
10000,50,1406.07529968706
10100,50.5,1422.0384789623
10200,51,1438.60779818067
10300,51.5,1454.39706645964
10400,52,1470.93336280856
10500,52.5,1487.04741742115
10600,53,1502.94945792916
10700,53.5,1517.41772007168
10800,54,1530.65018965259
10900,54.5,1545.77128173934
11000,55,1561.12110499223
11100,55.5,1577.98906842965
11200,56,1595.83044708653
11300,56.5,1613.39865886009
11400,57,1630.02979576268
11500,57.5,1644.97090338877
11600,58,1659.50458299337
11700,58.5,1674.81948133347
11800,59,1688.59960332377
11900,59.5,1701.79367843221
12000,60,1713.71458990356
12100,60.5,1726.34612213803
12200,61,1738.92388584153
12300,61.5,1750.42888720954
12400,62,1762.61941266098
12500,62.5,1776.50150752744
12600,63,1792.06273994369
12700,63.5,1807.44394826995
12800,64,1821.85024996155
12900,64.5,1835.89909078283
13000,65,1849.36674670719
13100,65.5,1863.91672488284
13200,66,1880.41425090429
13300,66.5,1898.13075602724
13400,67,1918.90835677278
13500,67.5,1943.0783960153
13600,68,1967.56101773113
13700,68.5,1987.85531245617
13800,69,2006.3025525376
13900,69.5,2024.82820704424
14000,70,2044.87499372577
14100,70.5,2063.55512240555
14200,71,2078.78911299587
14300,71.5,2093.14327747802
14400,72,2107.00191804203
14500,72.5,2121.72321508809
14600,73,2135.0995622369
14700,73.5,2147.91104098663
14800,74,2162.97839497067
14900,74.5,2179.74413542907
15000,75,2196.24760187508
15100,75.5,2211.3144663536
15200,76,2227.91386320392
15300,76.5,2246.47612827327
15400,77,2264.52462771583
15500,77.5,2281.28822163196
15600,78,2298.13884623527
15700,78.5,2312.98936093582
15800,79,2327.52987642636
15900,79.5,2341.33134130435
16000,80,2352.25923702677
16100,80.5,2364.24399973858
16200,81,2374.67541574561
16300,81.5,2384.16777526936
16400,82,2394.41627747719
16500,82.5,2403.78048120579
16600,83,2412.60967465642
16700,83.5,2422.49356037619
16800,84,2433.04080738215
16900,84.5,2446.12563193274
17000,85,2458.96802268753
17100,85.5,2472.35334059312
17200,86,2487.66875135169
17300,86.5,2502.2883026726
17400,87,2516.55604812954
17500,87.5,2531.85310479094
17600,88,2546.23901252486
17700,88.5,2558.99415194532
17800,89,2570.19004480981
17900,89.5,2584.4215239142
18000,90,2600.49591660653
18100,90.5,2618.98632156973
18200,91,2640.36954562701
18300,91.5,2661.21835603551
18400,92,2679.55458570796
18500,92.5,2696.31391545267
18600,93,2712.56961802711
18700,93.5,2730.38225611603
18800,94,2749.501948121
18900,94.5,2769.3252336054
19000,95,2788.06108342707
19100,95.5,2804.49978897398
19200,96,2820.01117873099
19300,96.5,2837.29817242804
19400,97,2856.04473552928
19500,97.5,2873.34173703294
19600,98,2891.14527440612
19700,98.5,2911.30306740985
19800,99,2931.98317854511
19900,99.5,2953.85933705001
20000,100,2976.37690420067
20100,100.5,2996.64403817796
20200,101,3014.42700687021
20300,101.5,3030.89530621718
20400,102,3047.95634493449
20500,102.5,3065.72808336404
20600,103,3081.48961299921
20700,103.5,3098.38352972207
20800,104,3116.65060785993
20900,104.5,3134.87199331404
21000,105,3154.03915823428
21100,105.5,3174.37533393403
21200,106,3193.61342761114
21300,106.5,3211.50317661928
21400,107,3230.30522246244
21500,107.5,3248.08850069178
21600,108,3267.86365508391
21700,108.5,3289.25570734978
21800,109,3310.55489596616
21900,109.5,3335.09202491193
22000,110,3358.45679604883
22100,110.5,3380.67532517118
22200,111,3406.04740217071
22300,111.5,3433.11452997062
22400,112,3458.15498108884
22500,112.5,3484.46470870225
22600,113,3509.64393082694
22700,113.5,3532.52542105242
22800,114,3552.28996913491
22900,114.5,3570.01268517476
23000,115,3587.76041929618
23100,115.5,3606.51791496507
23200,116,3624.85323761465
23300,116.5,3641.68532943376
23400,117,3662.21167809731
23500,117.5,3683.29134187332
23600,118,3705.95353244202
23700,118.5,3728.94748646096
23800,119,3751.3551209169
23900,119.5,3768.59957339602
24000,120,3784.24978671313
24100,120.5,3801.31284483252
24200,121,3817.5621746256
24300,121.5,3831.27777358167
24400,122,3846.06208755309
24500,122.5,3862.95297199171
24600,123,3879.32730908458
24700,123.5,3894.48707845399
24800,124,3908.36483500386
24900,124.5,3921.34290915761
25000,125,3933.20035659395
25100,125.5,3945.9893713915
25200,126,3956.31754373286
25300,126.5,3968.26806196269
25400,127,3981.11845959563
25500,127.5,3994.685545791
25600,128,4009.8491767861
